Partitioned_Design
Verilog_File,bench_1_Ltop.v
Top_Module,_ic3d_top_
Layer_Number,3


Layer,0
Verilog_file,bench_1_L0.v
Cell_name,Number,Area,Pin,Number-0(f),Power-0(f),Number-100(f),Power-100(f),Number-200(f),Power-200(f)
,,,Y,0,0,0,0,11,0
,,,B,0,0,0,0,11,234.025
NAND2X2,1,37.5,A,0,0,0,0,1,34.15
,,,B,0,0,1,18.9625,0,0
,,,Y,0,0,0,0,1,0
NOR2X1,11,275,A,0,0,10,86.3125,1,17.2625
,,,Y,0,0,0,0,11,0
,,,B,0,0,0,0,11,212.025
TSV_LAND,51,0,UP,51,0,0,0,0,0
,,,DN,51,0,0,0,0,0


Layer,2
Verilog_file,bench_1_L2.v
Cell_name,Number,Area,Pin,Number-0(f),Power-0(f),Number-100(f),Power-100(f),Number-200(f),Power-200(f)
OR4X2,1,76.5,A,0,0,0,0,1,36.35
,,,D,0,0,0,0,1,45.225
,,,C,0,0,0,0,1,41.625
,,,B,0,0,0,0,1,39.15
,,,Y,0,0,0,0,1,0
INVX2,4,100,A,0,0,0,0,4,114.65
,,,Y,0,0,0,0,4,0
AND2X2,7,350,A,0,0,0,0,7,202.3875
,,,B,0,0,0,0,7,229.425
,,,Y,0,0,0,0,7,0
NAND4X2,4,254,A,0,0,0,0,4,150.1
,,,C,0,0,0,0,4,208
,,,D,0,0,0,0,4,252.9
,,,B,0,0,0,0,4,189.5
,,,Y,0,0,0,0,4,0
MX2X2,4,410,A,0,0,0,0,4,170.8
,,,S0,0,0,0,0,4,213.55
,,,Y,0,0,0,0,4,0
,,,B,0,0,0,0,4,191.4
DFFX1,6,840,Q,0,0,2,0,4,0
,,,D,0,0,2,24.95,4,99.8
,,,DATA,0,0,2,25,4,100
,,,CK,0,0,2,28.0875,4,112.35
TSV_CELL,51,5100,UP,51,0,0,0,0,0
,,,DN,51,0,0,0,0,0
DFFX2,11,1925,Q,0,0,0,0,11,0
,,,D,0,0,0,0,11,367.125
,,,DATA,0,0,0,0,11,424.6
,,,CK,0,0,0,0,11,430.65
XNOR2X1,2,133,A,0,0,2,35.15,0,0
,,,B,0,0,0,0,2,90.25
,,,Y,0,0,0,0,2,0
INVX1,10,165,A,0,0,0,0,10,143.375
,,,Y,0,0,0,0,10,0
XOR2X2,2,165,A,0,0,1,28.675,1,57.35
,,,Y,0,0,0,0,2,0
,,,B,0,0,0,0,2,171.2
NOR2X2,4,150,A,0,0,3,48.4875,1,32.325
,,,Y,0,0,0,0,4,0
,,,B,0,0,0,0,4,146.2
MX2X1,10,665,A,0,0,0,0,10,257.75
,,,S0,0,0,0,0,10,333.25
,,,B,0,0,0,0,10,281.125
,,,Y,0,0,0,0,10,0
OR2X2,1,50,A,0,0,1,14.26875,0,0
,,,B,0,0,1,15.00625,0,0
,,,Y,0,0,1,0,0,0
AND2X1,9,292.5,A,0,0,0,0,9,180.3375
,,,B,0,0,0,0,9,191.475
,,,Y,0,0,0,0,9,0
NOR3X2,1,50,A,0,0,0,0,1,38.35
,,,C,0,0,0,0,1,57.175
,,,Y,0,0,0,0,1,0
,,,B,0,0,1,22.8,0,0
TSV_LAND,21,0,UP,21,0,0,0,0,0
,,,DN,21,0,0,0,0,0
NOR2X1,6,150,A,0,0,6,51.7875,0,0
,,,Y,0,0,0,0,6,0
,,,B,0,0,0,0,6,115.65


Layer,3
Verilog_file,bench_1_L3.v
Cell_name,Number,Area,Pin,Number-0(f),Power-0(f),Number-100(f),Power-100(f),Number-200(f),Power-200(f)
XNOR2X2,1,92.5,A,0,0,1,30.175,0,0
,,,Y,0,0,0,0,1,0
,,,B,0,0,0,0,1,89
NOR2X2,2,75,A,0,0,2,32.325,0,0
,,,Y,0,0,0,0,2,0
,,,B,0,0,0,0,2,73.1
AND2X2,2,100,A,0,0,0,0,2,57.825
,,,B,0,0,0,0,2,65.55
,,,Y,0,0,0,0,2,0
INVX1,1,16.5,A,0,0,0,0,1,14.3375
,,,Y,0,0,0,0,1,0
OR2X1,1,32.5,A,0,0,0,0,1,18.65
,,,B,0,0,0,0,1,19.85
,,,Y,0,0,0,0,1,0
DFFX2,1,175,Q,0,0,0,0,1,0
,,,D,0,0,0,0,1,33.375
,,,DATA,0,0,0,0,1,38.6
,,,CK,0,0,0,0,1,39.15
TSV_CELL,21,2100,UP,21,0,0,0,0,0
,,,DN,21,0,0,0,0,0


